Camera_Id,SourceId,Location,Issue_Category,Issue_Type,Issue_Description,Current_Value,Suggested_Fix,Severity
90676,103322,"I-80 RWIS EB @ Parley's Summit / MP 138.87, SL (Low Lite)",Naming,Unknown_Abbreviation,City/county abbreviation not recognized,SL (Low Lite),Verify abbreviation is correct,High
91399,238300,Portable RWIS 4,Naming,Missing_At_Separator,Location missing @ separator,Portable RWIS 4,Add @ to separate route from landmark,Medium
91399,238300,Portable RWIS 4,Naming,Missing_Comma_Separator,Location missing comma before city/county,Portable RWIS 4,Add comma before city/county abbreviation,Medium
91694,102606,None                                                                                                ,Naming,Missing_At_Separator,Location missing @ separator,None                                                                                                ,Add @ to separate route from landmark,Medium
91694,102606,None                                                                                                ,Naming,Missing_Comma_Separator,Location missing comma before city/county,None                                                                                                ,Add comma before city/county abbreviation,Medium
91698,102637,None                                                                                                ,Naming,Missing_At_Separator,Location missing @ separator,None                                                                                                ,Add @ to separate route from landmark,Medium
91698,102637,None                                                                                                ,Naming,Missing_Comma_Separator,Location missing comma before city/county,None                                                                                                ,Add comma before city/county abbreviation,Medium
91428,102583,None                                                                                                ,Naming,Missing_At_Separator,Location missing @ separator,None                                                                                                ,Add @ to separate route from landmark,Medium
91428,102583,None                                                                                                ,Naming,Missing_Comma_Separator,Location missing comma before city/county,None                                                                                                ,Add comma before city/county abbreviation,Medium
91701,102584,None                                                                                                ,Naming,Missing_At_Separator,Location missing @ separator,None                                                                                                ,Add @ to separate route from landmark,Medium
91701,102584,None                                                                                                ,Naming,Missing_Comma_Separator,Location missing comma before city/county,None                                                                                                ,Add comma before city/county abbreviation,Medium
90226,104076,"11800 S @ 4000 W, SJO                                                                               ",Naming,City_Mismatch,Location abbreviation does not match enriched City,SJO (South Jordan),Expected SJO but camera is in Riverton,Medium
90862,104271,"West Davis Hwy / SR-177 NB @ 950 N / MP 3.92, FRM                                                   ",Naming,City_Mismatch,Location abbreviation does not match enriched City,FRM (Farmington),Expected FRM but camera is in Kaysville,Medium
88661,104370,40769410,Naming,Missing_At_Separator,Location missing @ separator,40769410,Add @ to separate route from landmark,Medium
88661,104370,40769410,Naming,Missing_Comma_Separator,Location missing comma before city/county,40769410,Add comma before city/county abbreviation,Medium
90260,103561,"3900 S @ 500 W, SSL                                                                                 ",Naming,City_Mismatch,Location abbreviation does not match enriched City,SSL (South Salt Lake),Expected SSL but camera is in Millcreek,Medium
91161,104251,"4700 S @ 4000 W, WVC                                                                                ",Naming,City_Mismatch,Location abbreviation does not match enriched City,WVC (West Valley City),Expected WVC but camera is in Taylorsville,Medium
90900,104250,"4715 S @ 4800 W, WVC                                                                                ",Naming,City_Mismatch,Location abbreviation does not match enriched City,WVC (West Valley City),Expected WVC but camera is in Kearns,Medium
91176,103744,"Highland Dr / 2000 E @ Creek Rd / 8100 S, CWH                                                       ",Naming,City_Mismatch,Location abbreviation does not match enriched City,CWH (Cottonwood Heights),Expected CWH but camera is in Sandy,Medium
90674,103221,"I-15 NB @ 1600 S / MP 258.96, SPF",Naming,City_Mismatch,Location abbreviation does not match enriched City,SPF (Spanish Fork),Expected SPF but camera is in Springville,Medium
91240,103558,"I-15 NB @ 10600 S / SR-151 / MP 293.65, SND (Tunnel)                                                ",Naming,Unknown_Abbreviation,City/county abbreviation not recognized,SND (Tunnel),Verify abbreviation is correct,High
91704,102570,"I-15 SB @ 8400 S / MP 296.4, MDV",Naming,City_Mismatch,Location abbreviation does not match enriched City,MDV (Midvale),Expected MDV but camera is in Sandy,Medium
91760,102573,"I-15 NB @ 6600 S / MP 298.5, MDV",Naming,City_Mismatch,Location abbreviation does not match enriched City,MDV (Midvale),Expected MDV but camera is in Murray,Medium
91514,102746,"I-15 SB @ 2600 S  / SR-93 / MP 315.24, WXS",Naming,City_Mismatch,Location abbreviation does not match enriched City,WXS (Woods Cross),Expected WXS but camera is in North Salt Lake,Medium
88207,103520,"I-15 NB @ 2600 S / SR-93 / MP 315.26, WXS                                                           ",Naming,City_Mismatch,Location abbreviation does not match enriched City,WXS (Woods Cross),Expected WXS but camera is in North Salt Lake,Medium
90454,103326,"I-15 NB @ 1100 S / US-91 / MP 362, BRC",Naming,City_Mismatch,Location abbreviation does not match enriched City,BRC (Brigham City),Expected BRC but camera is in Perry,Medium
90746,103327,"I-15 SB @ 1100 S / US-91 / MP 362, BRC",Naming,City_Mismatch,Location abbreviation does not match enriched City,BRC (Brigham City),Expected BRC but camera is in Perry,Medium
91675,102506,"I-215 S WB @ 1300 E / MP 8.87, CWH",Naming,City_Mismatch,Location abbreviation does not match enriched City,CWH (Cottonwood Heights),Expected CWH but camera is in Murray,Medium
91597,102509,"I-215 S EB @ 300 E / MP 10.18, MDV",Naming,City_Mismatch,Location abbreviation does not match enriched City,MDV (Midvale),Expected MDV but camera is in Murray,Medium
91515,102675,"I-215 N WB @ Redwood Rd / SR-68 / MP 27.4, NSL (HUB)",Naming,Unknown_Abbreviation,City/county abbreviation not recognized,NSL (HUB),Verify abbreviation is correct,High
91274,103439,I-80 EB @ 1300 W / MP 118.41 SLC,Naming,Missing_Comma_Separator,Location missing comma before city/county,I-80 EB @ 1300 W / MP 118.41 SLC,Add comma before city/county abbreviation,Medium
91129,104019,"I-80 EB @ 2400 E / MP 126.82, SLC (Tunnel)                                                          ",Naming,Unknown_Abbreviation,City/county abbreviation not recognized,SLC (Tunnel),Verify abbreviation is correct,High
